window,rank,arm,target,n_fit,lam_lin,lam_quad,train_residual,val_residual,forecast_full_field,forecast_fluctuation,diverged,divergence_step,pod_floor_full_field,pod_floor_fluctuation,floor_ratio,dmd_ref_full_field,dmd_ref_fluctuation,truncation_estimate
full,8,arm2,discrete,319,1.0,100.0,0.0029707364313337377,0.001099362206583363,0.024956920148276985,0.0852958131276176,False,,0.024792502232762994,0.08473387841319001,1.0066317596332295,0.07978440548963557,0.2726809117755604,
full,8,arm3,discrete,319,1.0,100.0,0.0029707364313337377,0.001099362206583363,0.024956920148276985,0.0852958131276176,False,,0.024792502232762994,0.08473387841319001,1.0066317596332295,0.07978440548963557,0.2726809117755604,
full,8,arm2,continuous,319,0.01,100.0,0.006024870751716565,0.0025338478443192453,0.09941044499432172,0.3397572572573375,False,,0.024792502232762994,0.08473387841319001,4.0096979345211885,0.07978440548963557,0.2726809117755604,18.652649887223113
full,8,arm3,continuous,319,0.01,100.0,0.006024870751716565,0.0025338478443192453,0.09941044499432172,0.3397572572573375,False,,0.024792502232762994,0.08473387841319001,4.0096979345211885,0.07978440548963557,0.2726809117755604,18.652649887223113
full,11,arm2,discrete,319,0.0,100.0,0.0012475671856875124,0.0008016151140718814,0.016264620430888995,0.05558794982002288,False,,0.01621827849460778,0.055429565968428615,1.002857389352182,0.06360105659464883,0.21737072546552708,
full,11,arm3,discrete,319,0.0,100.0,0.0012475671856875124,0.0008016151140718814,0.016264620430888995,0.05558794982002288,False,,0.01621827849460778,0.055429565968428615,1.002857389352182,0.06360105659464883,0.21737072546552708,
full,11,arm2,continuous,319,0.01,100.0,0.0025088411490757924,0.0016994748182839689,0.11095024723550115,0.3791970923670098,False,,0.01621827849460778,0.055429565968428615,6.84106190878333,0.06360105659464883,0.21737072546552708,18.652649887223113
full,11,arm3,continuous,319,0.01,100.0,0.0025088411490757924,0.0016994748182839689,0.11095024723550115,0.3791970923670098,False,,0.01621827849460778,0.055429565968428615,6.84106190878333,0.06360105659464883,0.21737072546552708,18.652649887223113
full,15,arm2,discrete,319,0.0001,0.01,8.44579463913368e-05,5.084876043295728e-05,0.011297565799269675,0.03861193831154678,False,,0.011295501085043716,0.03860488169247147,1.0001827908483576,0.036672671370728875,0.1253369929279587,
full,15,arm3,discrete,319,0.0001,0.01,8.44579463913368e-05,5.084876043295728e-05,0.011297565799269675,0.03861193831154678,False,,0.011295501085043716,0.03860488169247147,1.0001827908483576,0.036672671370728875,0.1253369929279587,
full,15,arm2,continuous,319,1.0,100.0,0.002870968731531484,0.0012154486110406235,0.06323587265477353,0.21612262830819567,False,,0.011295501085043716,0.03860488169247147,5.5983238086271045,0.036672671370728875,0.1253369929279587,18.655561144852406
full,15,arm3,continuous,319,1.0,100.0,0.002870968731531484,0.0012154486110406235,0.06323587265477353,0.21612262830819567,False,,0.011295501085043716,0.03860488169247147,5.5983238086271045,0.036672671370728875,0.1253369929279587,18.655561144852406
full,23,arm2,discrete,319,1e-08,1e-06,1.0749858922261916e-06,3.502144261642744e-06,0.00406184579098003,0.013882259408701601,False,,0.004061845217810186,0.013882257449766459,1.0000001411107053,0.017086425293132448,0.058396650314347466,
full,23,arm3,discrete,319,1e-08,1e-06,1.0749858922261916e-06,3.502144261642744e-06,0.00406184579098003,0.013882259408701601,False,,0.004061845217810186,0.013882257449766459,1.0000001411107053,0.017086425293132448,0.058396650314347466,
full,23,arm2,continuous,319,1.0,100.0,0.002697468493260762,0.0012000327442751879,0.029538220529981524,0.10095342387917229,False,,0.004061845217810186,0.013882257449766459,7.272118691392704,0.017086425293132448,0.058396650314347466,19.099764199292856
full,23,arm3,continuous,319,1.0,100.0,0.002697468493260762,0.0012000327442751879,0.029538220529981524,0.10095342387917229,False,,0.004061845217810186,0.013882257449766459,7.272118691392704,0.017086425293132448,0.058396650314347466,19.099764199292856
post_transient,8,arm2,discrete,160,1e-06,0.0001,8.50989421018271e-06,8.021105144120337e-06,0.00797938652118745,0.027271324247564427,False,,0.0070782222520088586,0.024191395368341324,1.1273150569583816,0.01400159575678546,0.04785356077847885,
post_transient,8,arm3,discrete,160,1e-06,0.0001,8.50989421018271e-06,8.021105144120337e-06,0.00797938652118745,0.027271324247564427,False,,0.0070782222520088586,0.024191395368341324,1.1273150569583816,0.01400159575678546,0.04785356077847885,
post_transient,8,arm2,continuous,160,1.0,100.0,0.0013610463832370672,0.0010794885721681032,0.05160179138118777,0.17636057368256525,False,,0.0070782222520088586,0.024191395368341324,7.2902191459928725,0.01400159575678546,0.04785356077847885,19.921448452866663
post_transient,8,arm3,continuous,160,1.0,100.0,0.0013610463832370672,0.0010794885721681032,0.05160179138118777,0.17636057368256525,False,,0.0070782222520088586,0.024191395368341324,7.2902191459928725,0.01400159575678546,0.04785356077847885,19.921448452866663
post_transient,11,arm2,discrete,160,1e-08,1e-06,1.1299147670917088e-06,1.9844220873286795e-06,0.002732985288040165,0.00934058373486025,False,,0.0027329840772117656,0.009340579596585482,1.0000004430426102,0.0034696813979192723,0.011858406180368592,
post_transient,11,arm3,discrete,160,1e-08,1e-06,1.1299147670917088e-06,1.9844220873286795e-06,0.002732985288040165,0.00934058373486025,False,,0.0027329840772117656,0.009340579596585482,1.0000004430426102,0.0034696813979192723,0.011858406180368592,
