window,rank,library,lam_lin,lam_quad,val_residual,forecast_full_field,forecast_fluctuation,pod_floor_full_field,floor_ratio,diverged
full,8,lin_raw,0.0,0.0,0.020730464866975863,0.07957160421819932,0.27195361620487685,0.024792502232762994,3.2095027549517128,False
full,8,lin,0.0,0.0,0.061110857110282295,0.07612999668164629,0.26019115867597,0.024792502232762994,3.070686289221804,False
full,8,const_lin,0.0,0.0,0.06172850710462003,0.07948790594157325,0.2716675587699135,0.024792502232762994,3.2061268037935653,False
full,8,const_lin_quad,1.0,100.0,0.001099362206583363,0.024956920148276985,0.0852958131276176,0.024792502232762994,1.0066317596332295,False
full,11,lin_raw,1.0,0.0,0.01386771803172398,0.06540638611638347,0.22354083975065372,0.01621827849460778,4.032880933579334,False
full,11,lin,0.0,0.0,0.02827244951519549,0.054708144720350065,0.18697722559118748,0.01621827849460778,3.373239936565358,False
full,11,const_lin,1.0,0.0,0.028072152673236383,0.05770666146224006,0.1972253219971833,0.01621827849460778,3.5581249564450537,False
full,11,const_lin_quad,0.0,100.0,0.0008016151140718814,0.016264620430888995,0.05558794982002288,0.01621827849460778,1.002857389352182,False
full,15,lin_raw,1.0,0.0,0.005387660539004879,0.035020726492698266,0.1196911047023095,0.011295501085043716,3.1004137159589082,False
full,15,lin,1.0,0.0,0.029309303154143703,0.04279797638340254,0.14627158215637925,0.011295501085043716,3.788940044463455,False
full,15,const_lin,1.0,0.0,0.0289650154314386,0.03553331539983613,0.1214429910478504,0.011295501085043716,3.145793633439203,False
full,15,const_lin_quad,0.0001,0.01,5.084876043295728e-05,0.011297565799269675,0.03861193831154678,0.011295501085043716,1.0001827908483576,False
full,23,lin_raw,1.0,0.0,0.003669515973090438,0.01313989377721614,0.04490850303159507,0.004061845217810186,3.2349567924452063,False
full,23,lin,0.01,0.0,0.007941486106398044,0.034520857422064156,0.11798269122084766,0.004061845217810186,8.49881164124589,False
full,23,const_lin,0.01,0.0,0.005959337513575459,0.016175661822301856,0.05528391403319261,0.004061845217810186,3.98234323439396,False
full,23,const_lin_quad,1e-08,1e-06,3.502144261642744e-06,0.00406184579098003,0.013882259408701601,0.004061845217810186,1.0000001411107053,False
post_transient,8,lin_raw,0.0,0.0,0.007940498861568014,0.014199374447468296,0.04852951334557766,0.0070782222520088586,2.006065074240696,False
post_transient,8,lin,0.0,0.0,0.003961921643969181,0.007321381235214874,0.025022445156080205,0.0070782222520088586,1.0343531150264467,False
post_transient,8,const_lin,0.0,0.0,0.0039482780241146005,0.007334053161520386,0.02506575427642439,0.0070782222520088586,1.0361433846526817,False
post_transient,8,const_lin_quad,1e-06,0.0001,8.021105144120337e-06,0.00797938652118745,0.027271324247564427,0.0070782222520088586,1.1273150569583816,False
post_transient,11,lin_raw,0.01,0.0,0.00045934469126564286,0.003478275564080718,0.011887778650470636,0.0027329840772117656,1.2727024621487408,False
post_transient,11,lin,0.01,0.0,0.002468611002917192,0.0034935980484640462,0.011940146641266223,0.0027329840772117656,1.2783089654983542,False
post_transient,11,const_lin,0.01,0.0,0.002444668706256892,0.0034985315451461735,0.011957007961035021,0.0027329840772117656,1.2801141339672317,False
post_transient,11,const_lin_quad,1e-08,1e-06,1.9844220873286795e-06,0.002732985288040165,0.00934058373486025,0.0027329840772117656,1.0000004430426102,False
post_transient,15,lin_raw,0.01,0.0,0.00030665823336062153,0.002074470803458947,0.007089964344127983,0.0009499722338662529,2.1837173019427567,False
post_transient,15,lin,0.0,0.0,0.0007239901010845511,0.0012203255536219306,0.0041707333981183935,0.0009499722338662529,1.2845907597271322,False
post_transient,15,const_lin,0.0,1e-08,0.0005760937560831992,0.0011027909823176096,0.003769032917031582,0.0009499722338662529,1.1608665422034559,False
post_transient,15,const_lin_quad,1e-08,1e-06,1.946305448852e-06,0.000949972618037831,0.0032467422431570613,0.0009499722338662529,1.0000004044029545,False
post_transient,23,lin_raw,0.0,0.0,0.00014242966715379257,0.00040879001883148137,0.001397130609366981,0.0002410426835968648,1.6959237788572248,False
post_transient,23,lin,0.0,0.0,0.0004413834642423596,0.0006937720045086754,0.0023711197895478348,0.0002410426835968648,2.8782122492005775,False
post_transient,23,const_lin,0.0,0.0,0.0001571103388508374,0.00035434463129981346,0.0012110514147800446,0.0002410426835968648,1.470049312479619,False
post_transient,23,const_lin_quad,0.0,1e-06,2.0397550555396155e-06,0.00024104509913254983,0.0008238251197977844,0.0002410426835968648,1.00001002119479,False
