rank,reconstruction_err,extrapolation_err,fit_time_s
1,0.29676929116249084,0.2932286560535431,0.11043223199885688
2,0.2967773973941803,0.29323503375053406,0.1069233960006386
4,0.2973679304122925,0.3127283751964569,0.08466326800044044
8,0.29169613122940063,0.2994057834148407,0.08835360600096465
15,0.26669883728027344,0.3037046790122986,0.0934381580009358
32,0.22173883020877838,0.24304956197738647,0.10884991599959903
63,9228500.0,6029298688.0,0.1418533550004213
