window,rank,n_fit,fit_time_s,n_unstable,max_lambda,max_imag_over_real,primary_full_field,primary_fluctuation,pod_floor_full_field,pod_floor_fluctuation,ratio,rolling_mean_full_field,rolling_max_full_field,rolling_mean_fluctuation,rolling_max_fluctuation,legacy_extrap_full_field,legacy_extrap_fluctuation,legacy_max_imag_over_real
full,1,319,0.15917619399988325,1,1.0004670792597863,0.0,0.29369719749592993,1.0037753506795333,0.21172728695529347,0.7236249903777888,1.387148542445285,0.2931418367823684,0.2934115272670307,1.0011306584050257,1.0012217263700118,0.2932203287863133,1.0021455460361637,0.0
full,2,319,0.1781234919999406,1,1.000466706462016,0.0,0.29806568669846234,1.0187056319985182,0.08647233199377496,0.2955383848098562,3.4469486346213,0.2987319883810797,0.31201454413367996,1.0202100597487045,1.0647016613146467,0.2932267251248455,1.0021674069425934,0.0
full,4,319,0.15427609300058975,3,1.0018859547037455,0.0,0.08610264553656345,0.29427489930031503,0.06595601856803232,0.22541933063038477,1.305455474813876,0.06832695739851,0.06837314440921112,0.23334855740492233,0.2333917069620816,0.31279609624735005,1.0690500756522332,0.0
full,8,319,0.15537039399987407,3,1.0018853661921028,0.0,0.07978440548963557,0.2726809117755604,0.024792502232762994,0.08473387841319001,3.218086046361284,0.04610209464700177,0.04666864430674779,0.1574477871251736,0.15962136563219348,0.29933755704343407,1.023052531160062,0.0
full,11,319,0.16178789299920027,3,1.0019102486153373,0.0,0.06360105659464883,0.21737072546552708,0.01621827849460778,0.055429565968428615,3.9215664360304814,0.04023215415150405,0.04161376166836319,0.1373971285845408,0.142000563803447,0.28673632252960757,0.9799850157021166,0.0
full,12,319,0.17967479300023115,3,1.0019128860346271,0.0,0.05794073601293188,0.1980253237207581,0.014443274524805332,0.049363095986975324,4.011606641791835,0.023737261078696725,0.024322762645837617,0.08106622467395407,0.08299768803626671,0.29325874227191,1.0022768326480358,0.0
full,15,319,0.15878239300036512,7,1.001787546355338,0.0,0.036672671370728875,0.1253369929279587,0.011295501085043716,0.03860488169247147,3.246661754500371,0.01686254059448259,0.01705252452044714,0.057588685830610976,0.05821817157217065,0.30365223336573716,1.037798895018534,0.0
full,23,319,0.1616523930006224,6,1.0018616909277933,0.0,0.017086425293132448,0.058396650314347466,0.004061845217810186,0.013882257449766459,4.206567305473064,0.008487600154377824,0.008707736011972453,0.02898643657958931,0.02971381037373792,0.2814849298209907,0.9620372157142708,0.0
full,24,319,0.1736816929997076,6,1.0020047804537169,0.0,0.016282504919941834,0.05564907403034492,0.003996220341575914,0.013657969871549883,4.074476262117421,0.005583673883085345,0.0057589576858213835,0.019069036127649687,0.019651557694399528,0.2815806190273528,0.9623642548126731,0.0
full,32,319,0.18037249299959512,10,1.0015763453050777,0.0,0.026154874681182758,0.08939008859778884,0.002248113286786243,0.007683426066203614,11.634144433429363,0.004944146130033583,0.0049621431893979604,0.016885165397857168,0.01697208230751341,0.23868684182400854,0.8157652520937134,0.0
full,63,319,0.26832388899947546,10,1.0019763187557365,0.0,0.01133417174537326,0.03873704725606639,0.0005529692629335635,0.001889895172812579,20.496929043115735,0.0012614955810756078,0.0013081571989899655,0.004308086702008153,0.004463885319488822,0.074509934015165,0.25465423498369466,0.0
post_transient,1,160,0.03950279899981979,0,0.9999983360335702,0.0,0.28723710784068684,0.9816965606386349,0.20383871269889078,0.6966640371984795,1.4091391376916298,0.28728910333407487,0.28741768991567757,0.9811435054865701,0.982942276437973,0.28723665215653515,0.9816950032369196,0.0
post_transient,2,160,0.046145198999511194,0,0.9999933407630052,0.0,0.2911663897309208,0.9951257534975247,0.06493137652688526,0.2219173890628707,4.484217112051543,0.29115036763850954,0.30488212239753243,0.9943164192788183,1.0403633687111473,0.28732182071336704,0.9819860856807757,0.0
post_transient,4,160,0.03464379899924097,0,0.9999967727950185,0.0,0.06502142503227759,0.22222514981390615,0.03560304891247469,0.12168132080278057,1.8262881134737652,0.0647390189936842,0.06493657368218529,0.22109556010516077,0.2221033999294311,0.0652750393227595,0.22309193293453622,0.0
