baseline,reconstruction_err,extrapolation_err,fit_time_s
POD,0.0010822199983522296,,0.02489989300011075
DMD,0.002442532917484641,0.0025787074118852615,0.04745848599850433
NeuralROM,0.5984654426574707,0.5933688282966614,51.653918435997184
