baseline,reconstruction_err,extrapolation_err,fit_time_s
POD,0.0010523083619773388,,0.06256579600085388
DMD,9228500.0,6029298688.0,0.1485513899988291
NeuralROM,0.35244476795196533,0.3526122272014618,322.53815626899996
